,date,score,contents,
?곸뼱,Sep-19,1,"god awful this place is truly weird. it's a series of fake selfie opportunities. thought the ""golden bridge"" would be bigger and the hands would be made of stone - nope plastic.  you definitely do not need a full day.  the cable car view is beautiful though and there are some huge butterflies at the top which are pretty",
?곸뼱,Sep-19,2,"Too busy fake experience The hills and the cable car are beautiful, and the bridge is very impressive.  Admittedly we didn?셳 do a lot of research, just wanted to see the bridge. Looking back, we should?셶e gotten a private car and gone very early.  We got there about 9:30am, and despite being low season, the place was insanely busy.  It?셲 effectively a fake place built for tourist photos...  Would not recommend if you want a cultural experience.",
?곸뼱,Sep-19,1,"Crooked cashiers, please check your change if you pay cash! I purchased a gift at the gift store in Ba Na Hills, the cashier was shady and purposely gave me the wrong change. I told her this is not right and she pretended not to comprehend. She knew I did not speak Vietnamese and knew I was a tourist and thought I would be confused. I called my mom over since she speaks Vietnamese and as soon as she saw my mother come, she immediately swapped out the cash and gave me the correct change. I?셫 just surprised this would happen at such a beautiful place that looks like they would want more tourists to come back. Not only that, but it was also raining so we asked what was the cheapest rain poncho and she pointed to the more pricer one and right next to the pile were the cheaper ones. Be cautious of the change as they think you may be confused like with a 2000 vs 20.000 dong. This has occurred to me at multiple places not just here. Other than that incident, it?셲 a beautiful when you go up on the cables.",
?곸뼱,Sep-19,2,"It's just a low budget theme park! Not what I expected. I was sold a day which I thought was to see an amazing bridge and some sights and a couple of optional hours at a theme park. It is actually a day at a theme park which compared to European ones is poor at best. The bridge was built 1 year ago as a money making project, its OK but not what I thought. The rest of the day you are left to go round the park. The only good bit was the cable car which is impressive. Save your money, way way over priced at over 짙50!",
?곸뼱,Jul-19,2,"Beware of pick pockets Pick your day huge crowds, our friends had their bag slashed and wallet stolen whilst on bridge with hands. So many crowds. Best part was gondola ride.",
?곸뼱,Sep-19,2,First major disappointment in Vietnam The cable car ride is the highlight of the trip. We did not come to Vietnam to see fake buildings. The amusement park will disappoint anyone over the age of 12. In fairness we came on a cloudy day and had some rain but our recommendation would be to give this a skip and enjoy one of the many unique and authentic Vietnam experiences.,
?곸뼱,Aug-19,2,"Vietnam Disneyland Avoid this place! We thought there would be some element of historic or authentic value however this is a very kitch, twee, cheesy attraction. If you enjoy taking selfies in front of fake French buildings then I highly recommend. The cable car and views from the temple were amazing however it was so full of tourists that you could barely see the golden bridge. Piped music was heard throughout and sausage on a stick was being pushed with a vengeance. Overall if you enjoy natural Vietnam there are better places to see.",
?곸뼱,Aug-19,2,"Not much to like The chairlift was about the only really good thing about this place. It is just over 5km long. A nice view going up or down the mountain.  Now for the rest of it. I suppose if you like theme parks, go here. If you don?셳, keep away. The hand bridge is what we wanted to see the most. It is good but is not an impressive bridge like I thought it was going to be. It is new and has absolutely no history to it. The wine area is ok but the rest of the area is not for me. I am sure others will like this place but we cut our tour short so we could get out of there.",
?곸뼱,Aug-19,1,"Weird beyond belief We decided to go here to see golden bridge and stay overnight. On a positive note It was great we saw the golden bridge, the cable car ride, the views from pagoda and........well those 3 anyway The rest was like some LSD fuelled bad trip with home-made Disney. After the streaming hordes of day trippers left the place was eerie, nearly all shops and restaurants shut and no-one around. Hotels don?셳 have lobbies (other than the Cafe de Paris) and so it?셲 like a ghost town. I only realised there were other guests when we arrived at breakfast and found hundreds clamouring for as much as they could eat! Look at pics-odd but strangely charming in a way. When we were there they were building a castle and a chateau-cant believe there are enough guests to pay for it. Feels like Putin?셲 secret pet project Gardens nice, views towards coast at Danang and Laos nice too. Supper interesting-serenaded by 2 bizarre musicians on the accordion and tambourine They do pool cinema which is a laugh but cold water for 2h and all the lockers and signs handmade/painted-just feels naff Some of the staff were really lovely tho, especially 2 girls from France on grad training in hospitality Overall worth seeing the bridge, but for $500????",
?곸뼱,Aug-19,2,"A Surreal and Bizarre Experience We should have done our homework better which is why I can?셳, in good conscience, give it only 1 star. We were under the impression this was a cable car style trip to a serene mountain top spot with temples and views. Partly true. As stated in numerous reviews, the cable car ride up is a real plus and the Golden Bridge is worth seeing. However, there are other things going on are incongruous with the natural beauty and setting - mainly the existence of a Frankenstein-esque Disney experience with all the bad bits spliced together alongside some, quite frankly, baffling elements. This creates a day out like no other. Sunworld at Ba Na doesn?셳 seem to know what it is. It?셲 a collage of cultural references and theme park cliches that just do not work together and hence you find yourself wandering about trying to make sense of just what the hell is going on. French chateau architecture with roman statues, German oompah bands, pagodas, medieval kings and queens, roller blading dancers, etc... it?셲 just plain weird. But hey, judging by the coach loads of tour groups pouring into the place, there are clearly those that love it. Unfortunately most have a selfie obsession which just adds a layer of frustration to the bizarreness. Wasn?셳 for me. Or my family. Or the other family we were with. Advice? Give it a good long look before committing a full day and $200 of your itinerary to be sure it ticks the right boxes.",
?곸뼱,Aug-19,1,"Awful, tacky, fake and crowded Terrible, crowded theme park. I thought there would be some part of it which was actually French and built in 1919 but if there is it's well hidden. It's all just fake. Speakers blasting out really loud music constantly and crowds everywhere. However, staggeringly beautiful mountain views from up there and the cooler temperature was enjoyable. Wouldn't go again and wouldn't recommend anyone else to go.",
?곸뼱,Aug-19,1,"Completely weird So I booked a tour - at vast expense - to take me up to the Golden Hands Bridge. The ticket to enter ? unworld??where the Bridge is was 750000 dong - 짙28! Seeing as the ticket was so expensive I strongly suggest this place invests in some serious crowd control. On the Bridge there must have been over 1000 people. At certain points I physically could not move let alone take any decent photos. The ticket to the Bridge also allows you to explore Sunworld and other destinations in the Ba Na Hills. Honestly the entire place was completely random! It was a strange amalgamation of breathtaking architecture, a theme park and a religious centre. I found myself bored and confused in the hills. If you?셱e looking for a cultural experience- as I was - I just wouldn?셳 bother the expense. Of course you can just go to see the Bridge but it?셲 such a massive hassle that I wouldn?셳 bother. I won?셳 be going back.",
?곸뼱,Aug-19,1,"Wasp infested waste of time I recommend you to avoid visiting this place, unless you enjoy swarms of wasps and overcrowding with selfie obsessed people.  I did not review Ba Na Hills properly (my own fault).  The main attraction for me was the Golden Bridge- which was nice, but the overcrowding and large wasps took away from it for me - it was difficult to escape from them (?맃) due to the crowds.  The cable car was a good experience.",
?곸뼱,Aug-19,1,Not worth the money Went here expecting it to be amazing what a disappointment it was it was very expensive for what it was the day did not start off well when we were charged 750000d per person to get in then when we get on the cable car it was with 5 members of staff who constantly looked us up and down talked about us and made us feel uncomfortable plus they never shut up so the whole cable car ride there was ruined as we just wanted to experience the journey a bit more peacefully then when we eventually get to the top the bridge was underwhelming as was the rest of the park nothing opened until 9pm when it did we wasn?셳 impressed with the overpriced goods and food would never recommend to anyone as we already told several couples that were going to go that it wasn?셳 worth the money so they decided not to visit was there a total of 4 hours which we will never get back,
?곸뼱,Jul-19,1,Not a great visit We visited bah nah hills in July The cable car ?슑 ride ... fantastic The French village architecture... fabulous As for the rest .. food .. restaurants.. service absolutely shocking ... was like stepping of the cable car to French Disneyland plastic city The hotel was average service terrible The restaurants were like being herded into a sheep station .. food absolutely shocking No lovely wee bars or cute little cafes Not at all Vietnam ?눤?눛 Would never go back very disappointed ?삛 People absolutely everywhere taking selfies Shops were a joke !!! Not going again,
?곸뼱,Jul-19,1,"Too crowded We went on 26 Jul afternoon. Guess what..so damn crowded. So many of their local people and children.  First, there was no proper queue while waiting for the shuttle bus to bring you to the entrance. So when the bus arrived, everyone just squeezed into the bus. Fortunately, very short distance.  Signs were very visible to the cable car. Crowded, waiting time so pretty fast. Again, the staff on duty at the station would squeezed abt 8 people per cable car, hence I find it rather uncomfortable.  Actually, my main focus is the Golden Bridge and not the rest. So, once we reached the Golden Bridge, people everywhere, really crowded, hard to walk, and to stop to take pictures. In fact, everywhere was crowded.  This is the first time I was really pissed off with their local people. Not only the adults, and the children too, keep pushing us, touched our hands. Seriously, my friend and myself felt that they are so irritating.  It really dampen our mood. Actually, it still depend what is your intention to go there. For me, Golden Bridge only. End the trip, I wouldn't recommend.",
?곸뼱,Aug-19,1,"Ba Na hills Terrible the only good thing was the cable car. The French village with Roman soldier. statues. The number of ??selfies? eing taken is ridiculous you are stopped from walking so they take group photos, asked to move so a special can be taken, pushed out of the way so groups can pass . Don?셳 waste your $50 bucks . The Toboggan ride up to 1 hr wait standing in cold wind tunnel. Typical Asian show ritz and glitz but zero content.",
?곸뼱,Aug-19,1,"DO NOT WASTE YOUR MONEY GOING HERE!!!! The only good thing about this place is the ride on the cable car! The golden bridge is much smaller than it looks, it?셲 been photographed very well on instagram to make it look good! It?셲 a pointless bridge, right next to the cable car so photos don?셳 even look that good! The whole place is heaving with Asian tourists taking selfies ( thousands of them!!!) , but to be honest that?셲 all there is to do there. We were there for 1 hour and that included the 20 minute cable car ride!!!!! If you have money to throw away then go there but if not PLEASE DONT WATSE YOUR TIME! We read reviews like this and thought people were just being fussy but they were right and we should have listened to them. We could have had 2 luxury spa treatments for the cost of visiting this place.",
?곸뼱,Jul-19,2,"Do your homework first This is an interesting place, but read peoples reviews first. The cable car and the new village construction are amazing, and worth a visit, but the actual experience is all about mass tourism spending. We stayed overnight, as a European traveller I would not recommend it. Once they get you here there is no care or attention, it is mass food hall dining - breakfast was worse than an army mess hall. My advice, get a reliable private driver, visit mid-afternoon, then leave about 8.00pm, the cable cars go until 10. Good luck",
?곸뼱,Jul-19,2,Stunning but very overcrowded It?셲 a beautiful environment and experience. However it was completely overcrowded and destroyed the experience for us.,
?곸뼱,Jul-19,2,"For the most instagrammed place in Vietnam- it?셲 very overrated The Golden Bridge - you know the one - two big stone looking hands holding a bridge up. Comes up great in a photo but good luck getting a decent shot with so many people around. Recommend getting in as soon as it opens for some nice insta worthy shots. Saying that though, the bridge is a little over rated. So, starting from scratch, you need to pay to get into a theme park called Sun World. They are trying really hard to be like a Disneyland or Universal Studios - but so off the mark. It was about $30 US p/p for entry and this price is worth it only for the views. There are some amazing spots with views of Da nang that are awe inspiring. Some of the best coming from the canap챕 carts. If it wasn?셳 for this, I wouldn?셳 recommend going. Really, it is only worth going for the views. Nothing else really rates a mention. Sure there are some nice gardens and stuff but, meh.  The food was terrible. Even for them park food. We had hotdogs and they were disappointing.  Sadly, even the Starbucks there - which is normally very consistent around the world - did not hit the mark.  It?셲 all about the views!",
?곸뼱,Jul-19,2,"Cable car was the best Travelled from Hoi An for a day trip with family. Confused to why there are endless (never ending) corridors to get to the actual cable car entry.It was beautifully landscaped with greenery everywhere however. But it took so long just to get on the cable cars. Be prepared to queue! The scenery up the hill on the cable car was beautiful. Then you got to the top and were swamped by tourists! Expect tourists taking selfies everywhere you walk. The Map of the venue (essential to finding your way around) was in Vietnamese only! When you are hot and bothered and surrounded by people this doesn?셳 help. Enjoyed the Golden bridge and the views were great from everywhere - however very crowded. In the middle of the bridge a couple was ?쏿ttempting??to take wedding photos and trying to ward off the crowd (unsuccessfully) to take the perfect picture! What were they thinking!! Felt a bit trapped as we took the cable car down half way only to be told we can?셳 catch it back to the park entry. Had to go up again and then find our way to another departure point (hard when nothing on the map is in English) then exit. Would only recommend this place if you are ok with crowds of people and are very patient! Make sure you have plenty of time, as this place is huge.",
?곸뼱,Jul-19,2,"Better things to see in Danang We expected so much more than there actually was to see. The place is overcrowded, with lots of pushing and squashing throughout the bridge, the ride with a cable car is expensive. Overall not a great experience for us.",
?곸뼱,Jul-19,2,"Medieval European theme park in Vietnam Very big Medieval European theme park on top of beautiful scenery Ba Na hills. As a European I found this a big waste of my time, I would very much prefer to spend it experiencing the authentic beauty of the Vietnamese nature and culture instead.",
?곸뼱,Jul-19,1,Waste of time It's just a fake Vegas style tourist trap. The reality is so very different to those Instagram images! Be prepared for huge crowds and plastic scenery. No views with noting... in fact the only excitement was the cable car temporarily breaking down in mid- journey. Save your time and money and go to the city or beach. Total waste.,
?곸뼱,Jul-19,2,"View was spectacular. French theme park unimpressive Cable car ride up the hill was amazing, some great views of nature and da nang city. Golden hands bridge is a little over rated. Super packed. The French village theme park was an utter waste of time. If possible look got a tour that spends minimal time there.",
?곸뼱,Jul-19,1,"Farcical / depressing This is meant to be a natural park - however rather than preserve nature and promote eco-tourism, it has been turned into an obscene, almost Kafkian-nightmare type of place.  Essentially it?셲 a weird recreation of an ancient French village (why anyone would want to experience this on a hill in Vietnam, god knows).  The scale of coaches turning up with hoards of tourists all following someone with a flag, pushing/shoving/shouting and obsessing over selfies, is phenomenal.  Expensive by Vietnam?셲 standards (750000 VND) (turn up after 4pm for discount).  The cable car ride is beautiful though and the bridge is very pretty - we were fortunate to experience this not too busy.  You get a buffet dinner included, which is in some weird beer keg shaped shiny construction in which you take an escalator down and like ants, fight for your rice with possessed Chinese tourists. Overall such a farcical experience. And to think it?셲 surrounded by such beautiful nature, which has been trashed by multi-national corporations who play on mass-tourism of people who don?셳 know their gluteus from their proximal radio-ulnar joint.",
?곸뼱,Jul-19,2,"Cable car trip was the best bit Its really crowded and a tourist rap. The cable car gives great views of Danang and surrounds, as does the view from the Golden Bridge. The rest is either faded glory or modern theme kitsch. It's super crowded and not cheap. They also randomly closed the main cable car route between 12 noon and 2 pm and so we got get stuck there trying to find and then get down through one of the smaller cable routes elsewhere in the park.",
?곸뼱,Jul-19,2,The security should be considered Please stay alert with our security system from tourists. It was super crowded and I think about the security. Every one can go in just with the tickets. No security check at all. It will be a disaster if some bad guys do something wrong for the place. Please think about that! Thanks!,
?곸뼱,Jul-19,1,"waiting...... this tourist attraction is very disorganised with simply hours upon hours of waiting in queues. Once you arrive at the top of the cable car route at the village, it is just a relief to be out of the crowds of thousands of other people. The facilities at the top are fine but I'm wondering what the fuss was about? This was not worth the effort or the ticket price.",
?곸뼱,Jul-19,2,"Highly tourstic We drove up a from Hoian by van (realtvly cheap, booked through our hostel hoa bihn, but still pricy) to the location based on recomandations from the web. Entrence fee was quite expensive in comparison to other sites and attractions in Vietnam. The attraction is highly tourstic, despite the amazing view, everything is man-maid on the mountain itself, very ""instegram oriented"", although the golden bridge itself is impressive in structure. The fantasy park is sutable for little kids and not very excaiting for teens/adult. Everything is pricy in the food departmant althoug very diverse. We were disapointed because the attraction isn't what we expected, and was too touristic.",
?곸뼱,Jun-19,2,"Great cable care ride If you don't like crowds then don't go. The cable care ride up was the only thing worth while. We did want to see the Golden Bridge which was impossible to enjoy due to the amount of people who were only there for the photo op. This rest was just ok. A few nice gardens and a view and that was about it. We allowed 3 hours, as advised by the hotel tour desk, but we had had enough after about 1 1/2 hours.",
?곸뼱,Jun-19,1,Cable car ride is only good thing The ride to the top and back is this only good thing about this place. The rest is ridiculous nonsense.,
?곸뼱,Jun-19,2,"Think twice before you go It was a horrible experience in the Ba Na Hills. Overcrowded with many tour groups (looks like local or SE Asia). Everywhere people were pushing and knew nothing about politeness. Felt like running away from zombies or crossing some kind of obstacle race. The only comfortable moment is when you get high up in the cable car, the wind becomes stronger and cools us down a lot. Restaurant is another joke. The price of buffets is not worthy for that quality of food. When we finished lunch, leaving the restaurant, again blocked by a huge group of visitors, you have to fight to get out. Overall I would say think twice before you go.",
?곸뼱,Jun-19,2,"Ba Na Hills - Not worth it Incredibly overcrowded with large numbers of tourists. They didn?셳 really care about shoving young children out of the way on the Golden Bridge. Same when we were headed back to the cable car station to get out of Bana Hills. Simply no queue system or crowd management.  There was a brief complete blackout at the amusement park where the rides were and that was somewhat concerning. The lights came on but a few minutes after, all the arcade machines were down but to their benefit, this took about 10 minutes to fix. The second time the machines were down, we gave up.  We had lunch at the restaurant at the Mercury Hotel and food was bad. i thought something like a beef burger should be a safe option but I was wrong. Overcooked and crumbly beef patty. Other dishes ordered were also subpar.  The only lovely thing was the cable car ride. Other than that, simply not worth it.",
?곸뼱,Jun-19,1,"Warning for Europeans: don?셳 go Ba Na Hills is nothing more than a touristic build up in the hills, made for Asian people (mainly South Koreans) to take selfies. The copycat buildings of French architectural highlights are a pain for the eye. I didn?셳 do enough research to find out (my fault) but please be warned. (I am Dutch)",
?곸뼱,Jun-19,2,Disappointing for the price SO overcrowded honestly couldn?셳 believe how many tickets they must sell! Very pricey for what it is - would have been more enjoyable if there wasn?셳 so many people couldn?셳 move anywhere. The que for the cable car back down to the station was ridiculous little kid nearly got trampled. The bridge was beautiful but for the price and the fact it was too busy let it down massively really should only allow so many people up there at a certain time,
?곸뼱,Jun-19,2,"Disappointing Do get tickets in advance as we did other wise we would?셶e spent easily up to an hour queuing. We got there at 9am by Grab Car and wished we?셝 got there for opening at 730am. It was rammed and it took us an hour of queuing before we got on the cable car. The cable car views were fantastic. The French village and theme park were not to our taste and was tacky, extremely loud music etc coming through speakers and awful. Huge groups of tours that had no regard for anyone else?셲 personal space, queuing etiquette and much much more besides. Headed to the golden hands bridge which was our reason for going, the bridge was fantastic and very busy as to be expected. From there we did the Alpine coaster ride which was good fun and then we made for the cable cars to get out of there. Glad we arranged trip ourselves as we could get out of there when we wanted. Very disappointed overall.",
?곸뼱,May-19,1,Terrible - a 'rip off'. Don't go! A tourist trap of the worst kind. Advertised as a French hilltop village - its fake! Fake buildings all housing overpriced cafes with awful food. I'd say it was a theme/amusement park except there's simply nothing to do there.  Swarms of tour groups. Best to be avoided.,
?곸뼱,Jun-19,1,"Overpriced, overcrowded, overrated and over a barrel. We went with 2 kids 6&8. Worst experience in any country ever. Tens of thousands of people there, we spent approx 4 hours in queues, could not get to see or play anything. Could not wait to get home, each hour was excruciating. Was on Saturday. Avoid at weekends, and during the week.",
?곸뼱,Jun-19,1,To be avoided Just back from a terrible day in Bana Hills. Wish we did not go with our kids. Hours queuing to cable car hours queuing to rides and gave up. Approx 7000 people per hour use cable car. First bad day in Vietnam. Cable car view and buffet were good. Had to push way through golden bridge. No time to take photos as I had to hold onto kids. Tour guide Jesmine from Venus travels was fantastic. DO NOT waste a day and money on Bana Hills. Awful++++,
?곸뼱,Oct-18,2,"tourist trap Most tourist come here for the golden bridge. It's better to infor in ahead, because it's high up in the montains and on cloudy days (even on sunny days too) it can be too cloudy to see the bridge! Which is a pity. Vietnames come here for a day out, because it's more like an attraction park, it's too expensive for what it! and not worth the money.",
?곸뼱,May-19,1,Disorganised Vietsheen Travel Tour Ba Na Hills was great and the food good. Cable car ride was fantastic and although very busy it was worth the wait to get on a couple of the rides/items in the fantasy park. But the tour we had picked was not good. The bus was 45 minutes late for pick up the bus was full of locals. The guide put all his attention into them spoke poor English and kept us waiting for all the other families to get to the meeting points. There was no mention of a stop at a shop for the locals on the way back to our hotel. All this made for a frustrating and annoying tour where we felt we were just being ignored and that we were not important enough to be shown more respect as overseas tourists. We would not treat people like this in our country. Do your research we wish we had gone on our own.,
?곸뼱,Apr-19,1,"If you like kitch, this is your place Went there for the golden bridge but you need to get the whole attraction deal. The nice part was the cable car which is the longest in the world (it's Swiss-made!). Apart from the bridge which is itself overcrowded, the rest of the park is strange... they have a medieval European town with real European comedians around (a bit like in a zoo in fact). Everything is fake and food is expensive). There is one ride for which you have to queue 2-3 hours... done it, no need to ga back",
?곸뼱,May-19,2,"not worth it, big disappointment Even though we came here very early (8am), the entire place and especially the Golden Bridge were already overcrowded. It was almost impossible to cross the bridge without getting hit by an umbrella or getting elbowed in the face.  With Ba Na Hills they tried to create a special place but they just built a bad copy of Disney Land. Everything seems so artificial, especially the Golden Bridge.  The Golden Bridge is a fat cash cow and they won?셳 hesitate to milk it to the last drop. Due to this the entry price is really expensive and not worth it, especially because you have to pay extra for attractions like the Madame Tussauds.  Vietnam has lots of things to offer but Bana Hills isn?쁳 it. You?쁫l have a better time at your local fair.",
?곸뼱,May-19,1,clouds a kind of disney parc. not very impressive and thousands of chinese people just following their leader,
?곸뼱,Nov-18,2,"Too crowded I went there twice, every time I found it too crowded. Do not take the buffet if u want to end up giving up and ate something else like me =))",
?곸뼱,May-19,2,Cool place to visit - but not if your handicap. I visited the property on a knee scooter. Omg what a challenge. I don?셳 think Asia give a crap if you have any sort of disability. Good luck navigating this property. I only give it two stars as it was super difficult to tour the property on crutches or a knee scooter even. So many stair and steep steps. Lack of elevators or assistance at all. It was a cool place to visit if your fully capable of walking and climbing steps and steep walkways.,
?곸뼱,May-19,2,"Crowded on holiday weekend This place is unique and could have been a better experience if we didn?셳 visit on a holiday weekend in Vietnam.  It was incredibly crowded and felt like going to Disney. The lines were generally lengthy and it was impossible to get interesting pictures of most things because of the insane crowds.  If you?셶e got nothing else to do in the area (which is hard to believe) it might be worth a visit, but do it on an uncrowded day and get there early! Also, perhaps worth spending a night up top to benefit from smaller crowds and a more unique experience.",
?곸뼱,Apr-19,1,So poor managment and security staff We went to Bana Hill with guests as we do may times in the past. When we arrive at the parking lot the security guard fight with our driver in front of our guests and other guests for unknown reasons.. I write an official complain to the management and after one week and 2 reminder no answer. Our driver when to hospital for Xray and receive 2 days off after the fight with security guard. That is not acceptable in a touristic destination and that more unacceptable from the management to be so impolite and not answer to the official complaint From Now on we stip to sendd and put on black list this poor destination .,
?곸뼱,Apr-19,1,"Don't Go We were there to see the Golden Bridge and we didn't know this place is an Asian version of Disneyland. When we got there, they asked admission fees for about $170 in CASH! We needed to keep the cash for the driver, so asked to use credit card but he insisted NO CREDIT CARD. Meanwhile, there was a mom and a daughter next me using her credit card (!!) to pay her admission fees! I told my guy that why can't I use credit card and okay for her but he didn't speak English and kept telling me to pay in cash, so I left the park! This place is a SCAM and please DO NOT GO!!!",
?곸뼱,Apr-19,1,"French themed theme park overrun with swarming tourists There were coach-load and coach-loads of tourists who are dumped to this place as part of their package tours; so the huge place was completely swamped by people.  All the queue-jumping, jostling, shouting tourists as well as the heat ruined the visit. We escaped our tour half way..  The cable-car system is really fantastic, the french themed buildings make for an interesting atmosphere and the staff are good. Many more facilities are under construction at the top of the hill, so I guess it will get better..  We went to the buffet lunch - it was a big spread, but the quality was mediocre. (Did I mention the jostling crowd?)  The live entertainment was good, both in the French village and in the Fantasy Park where they have rolling continuous shows on stages. The Fantasy Park is mainly just rows of arcade machines - not impressed..  I didn?셳 go on the Alpine coaster. This is one of the main attractions - but the queue for it was going to be a whole-day affair at this stage.  Finally, the Golden Bridge: Not as big as it looks on photos and the ?쐆ands??appear to be painted concrete.. for us; it was completely overrun, so it was basically one block of people attempting desperately trying to take selfies.",
?곸뼱,Apr-19,1,Only for those obsessed with selfies This experience was horrible and expensive. The only reason to go is if you love taking photos of yourself. It was absolutely packed when we went. Other than a building full of video games there isn?셳 much of interest. Any chance of pretending you are in a French village is taken away by the thousands of people.,
?곸뼱,Apr-19,2,"Just not my thing We were attracted by the Golden Bridge, but ended up at a modern amusement park. I guess it would be ok for younger adults and families and amusement parks are my thing. The tour package doesn't allow for much time and the park was crowded, so you really couldn't do much. You get picked up around 8 but you go to other hotels to get others. And it takes almost an hour to get to Bana Hills. So with the gondola ride up the mountain, the walks to the gardens, buddha, Golden bridge, another gondola ride to the top where the amusement area is and lunch is provided. You end up with at the most 2 hours for the park, before you have to leave at 3:30 to return to your hotel. For me it wasn't worth it. But the Golden bridge was nice and the gondola rides were scenic.",
?곸뼱,Apr-19,1,Do not waist your time This place is a pure tourist trap and not worth the time. The cable car ride was good but the park is typical Viet Nam garbage. The bridge is an interesting work of art and the view was spectacular but that's it. Over crowded and the food is crap and expensive. Spend the day on the beach and enjoy your time there. Skip this place save your money and enjoy something else.,
?곸뼱,Apr-19,2,"Bring your ear plugs... this place is a building site Ba Na hills started off very badly and continued to get worse. Where do I start. We had 2 nights booked. We arrived at the reception after being picked up from the beautiful Hoi an. Reception told us that our booking had be cancelled. X number 1  We get to the gondola which is pretty amazing, built 9 years ago. There is 4 of them that seems a little over kill.. or not!! We get to the top of the mountain to find 5000 people downloading. What have we done.  We are taken to our room through the sea of people. We checked into our room which are park of the castle. Rooms are nice but not overwhelming.  We head out for something to eat as it has taken a few hours to get everything sorted. Nothing was open, this was unexceptable. I have 3 teenage kids and no food. We had to wait another hour and a half before anything opened for dinner. We ate at the beer hall. It was terrible but we would of eaten cardboard.  X number 2  I guess they?셱e trying to make BaNa hills feel like a mini Disneyland in the mountains of Vietnam. The temperature is 12 degrees less then the valley, so it?셲 nice and mild. Unfortunately after you fight with the 1000s of day trippers to go on a ride the day is over pretty quick. Once the day trippers leave you are once again waiting for the evening restaurants to open. We thought we would try the Tapas restaurant. During the day all you?셪l hear is tile cutters, carts along the pavers and jackhammers. You would hope they would stop at night but this is Vietnam, and they build all night. Which is fine but when you can?셳 escape the noise it?셲 draining. The restaurant had to play the music so load to drain out the noise of the tile cutter. We couldn?셳 here ourselves talk. On the request to have the music turned down the waitress said they had to keep it load so the people outside the restaurant would hear it as they walk past. Huh.  X number 3  So, is there anything good here. The view is amazing but, you?셪l be very lucky to get a clear day. The gardens and temples are beautiful and well looked after.  The hand bridge is cool but once again, just too many people .  Would I recommend this place, Yes but only do one night max and pack your earplugs?ㄻ  Three strikes I?셫 out..",
?곸뼱,Apr-19,2,"Don't bother The cable car is great and a genuine unique experience - that's the good news. The French Village is an utter joke, the only real French bit appears to be lost in a sea of fake/pretend buildings straight out of Universal Studios theme park. It really seems that someone went to Universal in Orlando and thought 'this would be great up a mountain in Vietnam'. I expected to see Mickey bloody Mouse appear at one point in a parade, then out of nowhere came a sodding brass band playing random pop tunes! The queue for the outdoor rollercoaster took an hour and my word a white knuckle ride it is not! Thankfully the indoor stuff is rather better. The Golden Bridge itself is a good idea but you need to elbow your way past all the over excited, self obsessed, selfie stick wielding morons to even get a chance at a look/photo. If it was marketed as a cable car trip up a mountain and back with stuff to do at the top it would be more appropriate - you have been warned.",
?곸뼱,Apr-19,1,"Don't even bother The only thing this place has got going for it is the cable car ride up and back. As for everything else, just forget it. Its a theme park built around supposed French castles and cobbled streets. Many are still under construction but there finish dates is anybody's guess. Some of the gardens are quite nice but will take more time to establish as I believe the whole park has only existed for around 5 years or so. The walk itself around the park is an absolute nightmare with thousands of tourists jockeying for their position with their bloody camera sticks or their random photo's of anything that moves. The worst of this nightmare is on the 'Golden Bridge"" where it is almost impossible to make your way from one way to the other. You are better off lying on a beach somewhere or propping up a bar rather than wasting a day at this place.",
?곸뼱,Apr-19,1,"PLEASE DO NOT GO I just wasted an entire day, which I will never get it back. I do not understand what the hype is about this park, which should be an insult to all Europeans. Everything about this ?쐔heme park??is artificial, and so fake that should insult one?셲 intelligence. There is zero cultural experience. It is a tourist trap with fake infrastructure, bad and overpriced food, and extremely crowded.  Please spend your time and money elsewhere such as Hoi An and Marble Mountains.",
?곸뼱,Apr-19,2,"Meh To be fair, I didn?셳 do the amusement park. We went at opening to visit the Golden Hand bridge- it is definitely beautiful but if you don?셳 get there at opening it becomes EXTREMELY crowded. Since we went at opening (0700)- none of the rides or restaurants were opened. By the time we left (0930) the place was swarming with people. It?셲 a $33 admission fee basically for a photo op and a pretty cool cable car ride up!",
?곸뼱,Mar-19,2,"Waste of time and money We went there with quite low expectations but at the end we were still quite disappointed.  Good things: The cable car ride is actually pretty impressive, the view is really nice. We went directly to the Golden Hands bridge which we thought is going to be really crowded but it wasn?셳 that bad after all (it was around 1pm) and the view was super nice.  After that the whole park was a complete disaster. If you have ever been to France than you can tell how extremely far from a French village it is. It looks like they were trying to make it as fake as possible with the cheap painting walls and other stuff. For an amusement park there is absolutely nothing to do, some activities (like the wax museum) even require extra entrance which i think it?셲 stupid since the whole entrance is pretty expensive. And the waiting lines are crazy long, waiting for more than an hour for a short slide just doesn?셳 make sense. A lot of things are still under construction and it looks more like a mix of a child?셲 room and a construction site overcrowded with tourist taking selfies everywhere.  Spare yourself the time and money and do something else.",
?곸뼱,Mar-19,1,"Don?셳 waste your time and money Wow. Complete waste of time and money. I was so excited to visit Ba Na Hills, particularly the Golden Bridge which always seemed so serene in photos. The whole attraction is completely overrun with tourists. It is impossible to take a photo or move for that matter without someone in your personal space. The French Village is a joke, completely fake and gaudy. Children over 100cms are charged a fee however most rides have a minimum height requirement of 120cm. Please don?셳 waste your precious time in such a beautiful country at a disgustingly touristy money trap. It?셲 a disgrace to Vietnam.",
